COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate
New Zealand,43264.0,153.88,10.7,0.7,,0.931,9.25,39.0,33.0,37.0,0.9,1.6,0.048,4.7,10.0,27407.0,90.0,,4024.0,10.3
Nicaragua,1913.0,,5.2,7.2,,0.66,3.6,,70.0,84.6,0.1,0.1,,16.6,13.0,1599.0,83.0,46.2,474.0,4.7
Niger,555.0,,0.5,4.4,,0.394,3.29,,100.0,0.5,98.3,,,80.4,,615.0,36.0,34.3,78.0,10.1
Nigeria,2361.0,,13.4,34.5,,0.539,4.1,,96.0,49.0,53.5,0.1,0.00063,117.2,7.0,1108.0,2.0,35.1,233.0,6.9
Niue,,,7.0,,,,,,,,0.1,,,,,,0.0,,1405.0,
Norfolk Island (Australia),,,,,,,,,,,,,,,,,,,,
North Korea,640.0,,3.9,,,,1.08,,,1.7,0.1,1.5,,17.3,14.0,,18.0,,,8.2
North Macedonia,6093.0,37.2,,1.2,,0.774,5.89,,76.0,70.7,33.3,0.1,0.00063,6.1,14.0,2293.0,73.0,34.2,1073.0,7.2
Northern Cyprus,,,,,,,,,,,,,,,,9012.0,,,,
Northern Ireland,,,,1.2,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,0.7,10.6,,,,,,,,
Norway,74986.0,159.99,7.5,0.5,,0.957,9.81,48.0,22.0,76.7,3.2,0.6,0.0082,2.4,15.0,,181.0,27.0,6818.0,11.8
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,
Oman,15343.0,57.53,0.8,0.3,,0.813,3.0,,100.0,6.5,86.0,0.8,,11.4,9.0,10143.0,35.0,,1730.0,4.5
Pakistan,1187.0,,0.3,3.9,,0.557,4.31,,92.0,1.6,96.5,0.1,,67.2,7.0,1539.0,43.0,33.5,178.0,0.6
Palau,15572.0,,,,,0.826,,,,77.9,0.1,0.8,,17.3,10.0,6240.0,6209.0,,2012.0,
Palestine,3424.0,,,0.5,,0.708,3.83,,,,97.5,0.1,,,,4833.0,35.0,33.7,,
Panama,15728.0,125.25,7.9,9.4,,0.815,7.18,,88.0,92.0,0.7,0.2,0.063,14.9,12.0,3819.0,157.0,49.2,1857.0,2.9
Papua New Guinea,2845.0,,1.2,,,0.555,6.1,,,97.0,0.1,0.1,,44.8,7.0,2161.0,111.0,41.9,101.0,3.6
Paraguay,5406.0,56.89,7.2,7.1,,0.728,6.18,,92.0,96.0,0.1,0.1,0.0063,19.4,14.0,4402.0,54.0,46.2,935.0,6.2
Peru,6978.0,51.81,6.3,7.9,,0.777,6.53,,84.0,87.0,0.1,0.2,0.012,13.2,14.0,3344.0,44.0,42.8,767.0,2.7
Philippines,3324.0,49.31,6.6,6.5,,0.718,6.56,,96.0,85.0,8.0,0.1,0.00063,27.3,15.0,2696.0,27.0,44.4,394.0,2.5
Pitcairn Islands,,,,,,,,,,100.0,,,,,,,,,,
Poland,15727.0,130.98,11.6,0.7,,0.88,6.85,43.0,75.0,94.3,0.02,0.1,0.029,4.4,15.0,9408.0,60.0,29.7,2015.0,9.3
Portugal,23350.0,150.39,12.3,0.8,,0.864,7.9,33.0,72.0,84.3,0.4,0.6,0.0038,3.7,16.0,9594.0,203.0,33.8,3242.0,7.2
Puerto Rico,35791.0,,,21.1,,,,,,89.0,0.1,0.3,0.0095,,,,164.0,,,
Qatar,64782.0,105.2,2.0,0.4,,0.848,3.24,,95.0,13.8,77.5,3.1,,6.5,7.0,,83.0,,3166.0,4.7
Republic of Moldova,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,,,,,,0.574,3.11,,95.0,,,,,,,1843.0,55.0,,,
Republika Srpska,,,,,,,,,,,,,,,,,,,,
Réunion,,,,1.8,,,,,,,4.2,0.2,,,,,,,,
Romania,12914.0,214.33,12.6,1.3,,0.828,6.4,,84.0,98.0,0.65,0.1,0.057,7.0,14.0,6513.0,58.0,36.0,1576.0,7.3
Russia,11606.0,87.01,11.7,8.2,4.3,0.824,3.31,58.0,34.0,61.8,12.5,0.1,1.0,5.8,14.0,2371.0,32.0,37.5,1488.0,21.6
Rwanda,820.0,,9.0,2.6,,0.543,3.1,,95.0,93.6,4.8,,,34.3,14.0,,29.0,43.7,170.0,9.5
Saint Barthelemy,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,0.0,,,,,,,0.1,,,,,,,,,
Saint Kitts and Nevis,19896.0,,9.4,36.1,,0.779,,,,,0.3,,,15.4,,6933.0,20.0,,1556.0,
Saint Lucia,11611.0,45.66,9.9,21.4,,0.759,,,,,0.1,,,22.3,,,36.0,51.2,611.0,6.9
Saint Martin,,,,27.7,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,,15.8,,,,,,,0.2,,,,,,,,,
